date,coding_level2,product,reason,synnopsis,notes,store_number,store_number,city,state,brand_code,brand,ownership_type,duplicate
4/27/14,Pre-packaged drinks,Orange,Bad Taste/Flavor,Customer said he the evolution Orange and he had it in his fridge and the next day it tastes like a sour orange taste like wine but it tastes good. Customer said it is not expired and he hasn't got sick off of it.,Customer said he the evolution Orange and he had it in his fridge and the next day it tastes like a sour orange taste like wine but it tastes good. Customer said it is not expired and he hasn't got sick off of it.,,,,,,Starbucks,,No
4/28/14,Pre-packaged drinks,OCA,Bad Taste/Flavor,Customer stated that their Carrot Apple Juice tasted very bitter.,Customer stated that their Carrot Apple Juice tasted very bitter.,,,,,,EVFR,,No
4/28/14,Pre-packaged drinks,Unknown,Expired,Customer stated that her juice date was expired.,Customer stated that her juice date was expired.,,,,,,Starbucks,,No
4/28/14,Pre-packaged drinks,Apple Berry,Bad Taste/Flavor,Customer stated that her Evolution Fresh Organic Apple tasted like lipstick.,Customer stated that her Evolution Fresh Organic Apple tasted like lipstick.,6530,,El Cajon,CA,SBUX,EVFR,CO,No
4/28/14,Pre-packaged drinks,OCA,Bad Taste/Flavor,Customer states the organic carrot apple tasted funny.,Customer states the organic carrot apple tasted funny.,,,,,,EVFR,,No
4/29/14,Pre-packaged drinks,Unknown,Bloated/Fermented/Spoiled,Store is reporting that an entire case of evolution fresh juice has expanded and every bottle looks like it is about to burst.,other,2926,,Spokane,WA,SBUX,Starbucks,CO,No
4/30/14,Pre-packaged drinks,Unknown,Bad Taste/Flavor,Customer had a sour tasting bottled beverage.,Added $10.00 to card 6034770964717349 as service recovery,,,,,,Starbucks,,No
4/30/14,Pre-packaged drinks,OCM,Bad Taste/Flavor,Customer had four bottles of the Orange Carrot Mango that did not taste right. Customer described it as bitter.,Customer had four bottles of the Orange Carrot Mango that did not taste right. Customer described it as bitter.,,,,,,EVFR,,No
5/1/14,Pre-packaged drinks,Apple Berry,Bad Taste/Flavor,Customer stated that his Apple Berry juice tasted sour.,Customer stated that his Apple Berry juice tasted sour.,,,,,,EVFR,,No
5/1/14,Pre-packaged drinks,OCA,Bloated/Fermented/Spoiled,"Customer bought some carrot-apple juice at a Starbucks, says it had propane in it, because it had an ""off-taste"" of Avon lipstick, said the bottle had swelled up.","Customer bought some carrot-apple juice at a Starbucks, says it had propane in it, because it had an ""off-taste"" of Avon lipstick, said the bottle had swelled up.",,,,,,EVFR,,No
5/1/14,Pre-packaged drinks,Essential Greens,Bad Taste/Flavor,Customer stated that the Essentials Green taste stale.,Customer stated that the Essentials Green taste stale.,,,,,,EVFR,,No
5/2/14,Pre-packaged drinks,OCA,Illness/Injury/Allergic Reaction,Customer says she got sick about an hour and a half after drinking an RTD Carrot Apple juice from this location.,"Brittany, Level 2 is checking to on a time frame for these types of situations. Brittany indicated that it would probably be another 2 wks before any information could be provided for the customer.",5865,,Phoenix,AZ,SBUX,Starbucks,CO,No
5/2/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,Customer states the Sweet Greens with Lemon tastes like someone took dirt and grass and put it in a blender.,"CORRECTION:  Dear Ella,     Let me start off by thanking you for your patience while waiting for a response.    Please accept my sincere apologies for your recent experience with our Sweet Greens with Lemon juice.  The quality of our products is of paramount importance to us and our ultimate goal is to produce the freshest, safest, and most nutritious juices on the market today.     As for the issue with the taste, rest assured that I will share your concerns with our Quality Assurance department so they are made aware of your feedback.     As for your request for a refund this is not something we can do.  Since you purchased the juice from Starbucks I would recommend going back to the store to seek a refund.      What I can offer, is a coupon to be used at a grocery store to try a different blend.  Or, if you have a Starbucks card that is registered in their rewards program, I can supply a credit to that card for you.   If you reply with your address I will get that sent to you, or if you reply with your full 16 digit Starbucks card number, I will get that credited.   If you ever have any questions or concerns in the future, please don't hesitate to get in touch.    Have a healthy day!     Samantha M.  customer care          Don't forget to follow us on Twitter and Facebook for all the latest Evolution news!",,,,,,EVFR,,No
5/2/14,Pre-packaged drinks,Mango,Bad Taste/Flavor,"Customer said the Mango smoothie had no mango taste and overpowering banana and orange taste, and an odd aftertaste.","Customer said the Mango smoothie had no mango taste and overpowering banana and orange taste, and an odd aftertaste.",,,,,,EVFR,,No
5/2/14,Pre-packaged drinks,Unknown,Appearance,"Customer said he was detecting small chunks of hardened stuff in the juice, filtered some onto a napkin and it looks like small gelatinous/hard chunks of carrot.","Clarifying earlier note: ""Foreign object"" seems to apply, but it didn't meet criteria for us needing it sent in. Customer was at food bank and asked where they got the juice. They got it from a distribution company called ""DPI"" in Portland, OR.",,,,,,EVFR,,No
5/7/14,Pre-packaged drinks,Orange,Bad Taste/Flavor,"Customer says he got half gallon bottle of Organic Orange at Whole Foods and it was sour, didn't taste right.","Customer says he got half gallon bottle of Organic Orange at Whole Foods and it was sour, didn't taste right.",,,,,,EVFR,,No
5/9/14,Pre-packaged drinks,OCA,Bad Taste/Flavor,Customer said her Evolutions Fresh Organic Carrot Apple Drink tasted like nothing but carrots. She would like a refund or credit to her card. (no further info provided),,,,,,,Starbucks,,No
5/9/14,Pre-packaged drinks,Organic Ginger Limeade,Bad Taste/Flavor,Customer states the organic ginger limeade tastes watered down.,Customer stated organic ginger limeade tastes watered down and no ginger taste. Customer stated it's just lemon juice with water and no ginger. Customer stated they bought it from Starbucks and let the person behind the counter taste it. Customer stated they stated it was watered down as well. Before I could apologize the customer stated they were just submitting their feedback and disappointment and hung up.,,,,,,EVFR,,No
5/14/14,Pre-packaged drinks,PCW,Expired,"Customer states they purchased an Evolution PCW, they state it tasted funny so they looked at the date and it was 5 days expired. They state they are 7 and 1/2 months preganant and hope they do not get sick.","Customer states they purchased an Evolution PCW, they state it tasted funny so they looked at the date and it was 5 days expired. They state they are 7 and 1/2 months preganant and hope they do not get sick.",,,,,,Starbucks,,No
5/16/14,Pre-packaged drinks,Grapefruit,Bloated/Fermented/Spoiled,"Customer stated ""the last bottle of Grapefruit was not the same.  It was discolored and spoiled with a strange taste.""","Customer stated ""the last bottle of Grapefruit was not the same.  It was discolored and spoiled with a strange taste.""",,,,,,EVFR,,No
5/19/14,Pre-packaged drinks,SGL,Bloated/Fermented/Spoiled,Customer stated that she purchased a Evolution Fresh Sweet Greens Juice that tasted really bad as if it had spoiled.,Added $10.00 to card 6094313109537575 as service recovery,15690,,Lakewood,WA,SBUX,EVFR,CO,No
5/21/14,Pre-packaged drinks,Super Greens Smoothie,Bad Taste/Flavor,Customer stated that their Super Greens juice tasted bitter.,Customer stated that their Super Greens juice tasted bitter.,,,,,,EVFR,,No
5/21/14,Pre-packaged drinks,Orange,Bad Taste/Flavor,"Customer stated he purchased the Orange and ""It wasn't sweet in the least, it was just a mouthful of pulp. It was awful."" He also stated he was not able to return the product.",Credited: 5.00 To: 6083856981579701 case # 14672104 merchant # 99910439994,7914,,Silver Spring,MD,SBUX,EVFR,CO,No
5/22/14,Pre-packaged drinks,Essential Greens,Bad Taste/Flavor,Customer states they tried the essensal greens juice and tasted salty.,Customer states they tried the essensal greens juice and tasted salty.,,,,,,EVFR,,No
5/23/14,Pre-packaged drinks,Organic V,Bad Taste/Flavor,"Customer was calling to inform that the Organic V ""tasted like dirty carrots"", customer was not happy with the flavor.",Customer Abandoned,,,,,,EVFR,,No
5/24/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,Customer stated that the Evolution Fresh Sweet Greens and Lemon drink tastes like a pasture in a bottle.,Customer stated that the Evolution Fresh Sweet Greens and Lemon drink tastes like a pasture in a bottle.,,,,,,Starbucks,,No
5/27/14,Pre-packaged drinks,Unknown,Illness/Injury/Allergic Reaction,Customer was made sick by a bottle of mango and vomitted.,Customer was made sick by a bottle of mango and vomitted.,13317,,Callaway,FL,SBUX,EVFR,CO,No
5/28/14,Pre-packaged drinks,Ginger Limeade,Foreign Object/Substance,Customer states they found a piece plastic wrap about an inch a half long in the ginger limeade.,Customer states they found a piece plastic wrap about an inch a half long in the ginger limeade.,11130,,Silver Spring,MD,SBUX,EVFR,CO,No
5/29/14,Pre-packaged drinks,Orange,Illness/Injury/Allergic Reaction,Customer said he became ill and was regurgitating after consuming an Organic Orange.,"Custoemr was going over the website, he enjoys the beverages, he had a bad experience from one last night, his immune system is not that great. He started getting some sharp stomach pains and started regurgiating, throwing up, he stopped it, from then on through the night he sat up Usually when he throws up he is in the hospital for two weeks. Organic Orange  Does high pressure processing provide the same level of protection as regular pasteurization Does high pressure processing meet the legal requirements of pasteurization  Consumed 8 last night became 6 am this morning 15.2 Fl Oz Purchased at PCC West Seattle on California Street 3000 California SW  he packed them in an insulated carrying bag  Best Taste by date: 6/23/14 Lot Code: 16158804:45 orgorang c  He said he cannot point the finger of blame at one product as he consumed many things  He believes we should label that the pasteurization process meets the legal definitions  Len Hilgrmann 2069352812  Customer said he cannot finish the phone call he would like to call back to finish I have offered to find the information he needs. Gave him the case number.",,,,,,EVFR,,No
5/30/14,Pre-packaged drinks,Protein,Bad Taste/Flavor,Customer states the Protein that has the best by date of 6/18/2014 has more OJ and less coconut milk not as creamy.,"Customer stated  ""the price went up it was 2 for $4 and now it's almost $5. What disturbs me more than anything is the flavor has changed and I'm not happy about that at all. "" Customer stated it's the 15.2 and lot code 162003 20; 18 bought at the Vons in Manhattan Bch,  CA.  Customer stated the Starbucks store they go to they seem to have every other Evolution Fresh juice but not the Protein. Apologized and informed the customer I'd forward this along. Sent the coupons instead of credit as they mentioned the Starbucks stores don't sell the Protein they enjoy.",,,,,,EVFR,,No
5/31/14,Pre-packaged drinks,Essential Greens,Foreign Object/Substance,Customer said that they found a hornet in the bottom of their Essential greens. This was bought From en Evo Fresh drink in a local Grocery Store.,Customer said that they found a hornet in the bottom of their Essential greens. This was bought From en Evo Fresh drink in a local Grocery Store.,,,,,,EVFR,,No
6/2/14,Pre-packaged drinks,Protein,Bad Taste/Flavor,Customer states the 14 Protein bottles they bought the taste is bad and they don't taste as fresh.,"Customer stated they ""honestly don't know what was wrong with them but they're not well refrigerated or what."" Customer buys them all the time. Customer stated ""they seem like they have a bad taste like they had just been refrigerated."" Customer stated they bought the  Protein. Customer stated they bought 14 for 2 whole weeks. Customer stated they tried 3 and actually opened another and seemed horrible not fresh tasting. Customer stated they didn't want to try the others as they didn't want to get sick. Customer stated they weren't the ones that bought that them, their wife goes to Ralf's and Vons and they're not sure where these were bought. Customer doesn't have the bottles they're thrown out. Customer stated they set one set aside. Customer stated they threw away the others in the trash bin. Customer stated best taste date 5/21/2014. Customer stated the lot code is 168556. Customer doesn't have the receipt. Customer stated they ""usually gets rid of the receipt."" Spoke with Coach Bert who stated to inform the customer usually they'll have to go to the store with the receipt and they'll be able to offer the refund. What we're able to do as a one time customer service gesture is send a Starbucks card. Informed the customer and they kept asking how many they'd be able to buy.  Informed the customer I didn't know how many as it varied by state. Informed them again we were doing so as a customer service gesture and they needed to back to the store with the receipt and bottles for the refund. Customer stated they spent over $20 and that doesn't seem fair. Customer asked me to check again. Spoke with Coach Bert again who repeated the same thing but we'd go as high as $30.00. Informed the customer who stated ""well it's better then $20.00"". Also checked with Coach Bert and Jesse as the customer was linked to another case but a different first name.  Both Coaches stated to reference the case number. Case ID: 33226",,,,,,EVFR,,No
6/3/14,Pre-packaged drinks,Defense Up,Foreign Object/Substance,"Customer states they were told on the Evolution Fresh Twitter account to call regarding a foreign object, ""a big piece of plastic"" found in a Defense Up drink.","Customer states they were told on the Evolution Fresh Twitter account to call regarding a foreign object, ""a big piece of plastic"" found in a Defense Up drink.",212,,Chicago,IL,SBUX,EVFR,CO,No
6/3/14,Pre-packaged drinks,Essential Greens,Bad Taste/Flavor,Customer said her Essential Greens with Lime tasted bitter.  6/7/14 best taste by date Lot Code: 16069720:00 ESNTLGRNA,Customer said her Essential Greens with Lime tasted bitter.  6/7/14 best taste by date Lot Code: 16069720:00 ESNTLGRNA,,,,,,EVFR,,No
6/7/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,"Customer states they purchased a sweet greens with lemon and the taste was off.  Customer states it tasted like it had sat too long in the fridge.  Customer will never purchase a juice from Evolution Fresh again, and states the expiration dates need to be shortened.","Customer states they purchased a sweet greens with lemon and the taste was off.  Customer states it tasted like it had sat too long in the fridge.  Customer will never purchase a juice from Evolution Fresh again, and states the expiration dates need to be shortened.",,,,,,Starbucks,,No
6/7/14,Pre-packaged drinks,Unknown,Bad Taste/Flavor,Customer stated that her bottled beverage smelled sour.,Customer stated that her bottled beverage smelled sour.,2532,,Beachwood,OH,SBUX,Starbucks,CO,No
6/9/14,Pre-packaged drinks,SGL,Expired,"Customer stated that they purchased two of the Evolution Sweet Greens bottles, and they were disappointed because they were spoiled. They smelt like garbage and begin to clump.","Customer stated that they purchased two of the Evolution Sweet Greens bottles, and they were disappointed because they were spoiled. They smelt like garbage and begin to clump.",,,,,,EVFR,,No
6/13/14,Pre-packaged drinks,SGL,Illness/Injury/Allergic Reaction,Customer states she became ill from Sweet Green Evolution Fresh,Customer states she became ill from Sweet Green Evolution Fresh,6607,,San Jose,CA,SBUX,EVFR,CO,No
6/16/14,Pre-packaged drinks,Unknown,Bad Taste/Flavor,"Customer states they could not stand how salty the juice they purchased tasted.  Customer states they're wondering what to do because they spent $3.50 on juice they won't drink and would like coupons to replace the bottle. (Enjoy by Jul 05 2014, Lot: 162699 13:18)","Customer states they could not stand how salty the juice they purchased tasted.  Customer states they're wondering what to do because they spent $3.50 on juice they won't drink and would like coupons to replace the bottle. (Enjoy by Jul 05 2014, Lot: 162699 13:18)",,,,,,EVFR,,No
6/16/14,Pre-packaged drinks,PCW,Expired,Customer purchased an Evolution Fresh PCW. It was expired.,Credited SVC: 6072163185217353 $10.00 per case ID: 14855344,10644,,Columbus,OH,SBUX,Starbucks,CO,No
6/16/14,Pre-packaged drinks,Unknown,Expired,Customer said she was very upset because the Evolution Fresh Coconut Milk she received was expired. Customer said the store music was very loud.,Customer said she was very upset because the Evolution Fresh Coconut Milk she received was expired. Customer said the store music was very loud.,17602,,Napa,CA,SBUX,Starbucks,CO,No
6/16/14,Pre-packaged drinks,Tangerine,Bad Taste/Flavor,Customer states the seal was cracked and the tangerine was very bitter. Lot code 762357010056 and best taste by date 6/24/2014.,Apologized and informed the customer I'd share this with Q&A.,,,,,,EVFR,,No
6/19/14,Pre-packaged drinks,SGL,Expired,Customer purchased a sweet greens and lemon at the Starbucks location that was 4 days expired.,added $10 to card 6091303707503777 case 14894036,,,,,,EVFR,,No
6/23/14,Pre-packaged drinks,Defense Up,Expired,Customer bought defense up bottles that were past the best by taste date.  4 bottles purchased.  5/21/14 Lot Code 160556; 13471342,Customer bought defense up bottles that were past the best by taste date.  4 bottles purchased.  5/21/14 Lot Code 160556; 13471342,,,,,,EVFR,,No
6/23/14,Pre-packaged drinks,PCW,Expired,Customer stated that the Pineapple coconut juice was passed the expiration date.,Customer stated that the Pineapple coconut juice was passed the expiration date.,,,,,,EVFR,,No
6/24/14,Pre-packaged drinks,Orange,Bad Taste/Flavor,"Customer purchased a 64oz of Organic Orange and it had a 'Bad' taste, the juice had a cinnamon taste.","ABQ R and R please disregard, this was not supposed to be escalated, customer did not request DM follow up, this was a mistake.",,,,,,Starbucks,,No
6/25/14,Pre-packaged drinks,Essential Greens,Bloated/Fermented/Spoiled,"Customer states they purchased two Essential Greens with lime (Best by 7/14/14, Lot 163024) and they were both highly pressurized, so they ""exploded and fizzed all over"" when they were opened.",Credited SVC# 6095277322778654 $20.00 per CIMS case 14941107; MID 99910439994,,,,,,EVFR,,No
6/25/14,Pre-packaged drinks,Orange,Expired,Partner said they are receiving shippments of Evolution Fresh Orange flavored. that are expired.,Partner said they are receiving shippments of Evolution Fresh Orange flavored. that are expired.,75351,,Fort Gordon,GA,SBUX,Starbucks,LS,No
6/26/14,Pre-packaged drinks,Spicy Lemonade,Bad Taste/Flavor,"Customer states they purchased an Organic Spicy Lemonade and it tasted mostly of water, and little cayenne bits. (batch number 163132 21:31)  (Already responded to by an Evolution Fresh representative)","Customer states they purchased an Organic Spicy Lemonade and it tasted mostly of water, and little cayenne bits. (batch number 163132 21:31)  (Already responded to by an Evolution Fresh representative)",,,,,,EVFR,,No
6/27/14,Pre-packaged drinks,OCA,Bloated/Fermented/Spoiled,"Customer bought some carrot-apple juice at a Starbucks, says it had propane in it, because it had an ""off-taste"" of Avon lipstick, said the bottle had swelled up.",Also see case #14956351,,,,,,EVFR,,No
6/27/14,Pre-packaged drinks,Unknown,Expired,Partner stated that customer had a bottle of evolution fresh that he drank that was expired.,"Customer drank all of the Evolution fresh drink and it was expired. Customer is feeling super upset and wants to puke. Customer is now upset and wants to go to the hospital however, has no money. Customer feels very sick.",2315,,North Olmsted,OH,SBUX,Starbucks,CO,No
6/27/14,Pre-packaged drinks,Orange,Foreign Object/Substance,"Barista Called and stated there was a ""larva"" in a 64oz container of Orange","Barista Called and stated there was a ""larva"" in a 64oz container of Orange",16735,,Seattle,WA,EVO,Starbucks,CO,No
7/6/14,Pre-packaged drinks,Unknown,Expired,Customer called about two of our juices that are well past expiration.,Credited $20.00 to SVC#6075368505494902  per case# 15032162. Used Merchant 99910439994.,6928,,Turlock,CA,SBUX,EVFR,CO,No
7/7/14,Pre-packaged drinks,Defense Up,Appearance,Customer stated that his defense up drink was clumpy and would not come out of the bottle.,Added $10.00 to card 6086332773483203 as service recovery,8543,,Miami Beach,FL,SBUX,EVFR,CO,No
7/7/14,Pre-packaged drinks,Essential Greens,Illness/Injury/Allergic Reaction,Customer became ill with diarrhea and stomach intestinal issues after consuming an Essential Greens with Lime.  16302400 25 esntl green July 14 2015.,Customer became ill with diarrhea and stomach intestinal issues after consuming an Essential Greens with Lime.  16302400 25 esntl green July 14 2015.,,,,,,EVFR,,No
7/7/14,Pre-packaged drinks,Unknown,Bad Odor,Juice smelled rotten.,Juice smelled rotten.,,,,,,Starbucks,,No
7/10/14,Pre-packaged drinks,Orange,Bloated/Fermented/Spoiled,"Customer stated that they purchased a bottle of Orange and it was spoiled. They said that it has a spoiled taste as well as alcohol, and white clumps.",Crediting SVC 6088263050864829 $10.00 per case 15068772.,3346,,Seattle,WA,SBUX,EVFR,CO,No
7/13/14,Pre-packaged drinks,PCW,Expired,Customer said he purchased a Water and a bottled Evolution Coconut Pineapple (15.2 oz) drink. Customer said the date on the drink was expired and it didn't taste right.,Customer said he purchased a Water and a bottled Evolution Coconut Pineapple (15.2 oz) drink. Customer said the date on the drink was expired and it didn't taste right.,10560,,Jackson,MI,SBUX,EVFR,CO,No
7/14/14,Pre-packaged drinks,Organic V,Bad Taste/Flavor,"Customer stated that her 3 ""Organic 5"" 15.2 oz juices taste bitter.",Added $20.00 to card 6072157600939559 as service recovery,,,,,,Starbucks,,No
7/15/14,Pre-packaged drinks,PCW,Expired,"Customer states while at the store they purchase a Evolution fresh Coconut Water pineapple and after they drank it ,they noticed the expiration date july 12th but they got it on July 14th.","customer email        --------------------------------------------------------------------------------           Manage your account at starbucks.com/account  Got an idea? Share it at My Starbucks Idea  Follow us on Facebook and Twitter --- Original Message --- From: Phil Feinsot <phil.feinsot@gmail.com> Received: 7/14/14 9:05:31 PM EDT To: <info@starbucks.cust-serv.com> Subject: The service I received at a store  I tried my very first Coconut Water Pineapple Evolution drink this afternoon. There were none in the cooler, so I asked the person behind the counter and she went back and got me one. Purchased it, drank half of it and noticed that the 'enjoy by' date was July 12. Today is July 14th. I brought it to her attention and she simply said 'sorry bout that.' Big Starbucks fan but this purchase and experience let me down.   =========================================================    Name: Phil Feinsot Address:  Phone:  Event Date:  Event Time:  Store Location: Bayshore Landing (Store No. 19877) Card Number:  Device:  Product:  Lot Code:  Best By Date:  Purchased From: Bayshore Landing (Store No. 19877) Reply Required: Yes  =========================================================  The following answers might help you immediately. (Answers open in a separate window.) Answer Link: http://customerservice.starbucks.com/app/answers/detail/a_id/1946 How do I descale my brewing machine?  Answer Link: http://customerservice.starbucks.com/app/answers/detail/a_id/2556 I didn?t use my reward and it expired, why do you have expiration dates on rewards?  Answer Link: http://customerservice.starbucks.com/app/answers/detail/a_id/1887 When will I receive my complimentary birthday drink or food reward?  Answer Link: http://customerservice.starbucks.com/app/answers/detail/a_id/1913 Will my barista tell me if I have a free reward waiting on my Starbucks Card?  Answer Link: http://customerservice.starbucks.com/app/answers/detail/a_id/2463 How do I qualify for a cup discount?     =========================================================",19877,,Coconut Grove,FL,SBUX,Starbucks,CO,No
7/15/14,Pre-packaged drinks,Unknown,Expired,Customer stated her Evolution Fresh juice was expired and was concerned about how long it sat on the shelf.,Customer stated her Evolution Fresh juice was expired and was concerned about how long it sat on the shelf.,,,,,,EVFR,,No
7/15/14,Pre-packaged drinks,Orange,Expired,Customer stated their Evolution Orange was past it's Best By date.,Customer stated their Classic Coffee Cake was only average quality.,8850,,Huntington,WV,SBUX,Starbucks,CO,No
7/15/14,Pre-packaged drinks,Apple Berry,Bad Taste/Flavor,Customer states the appleberry had very bitter and different taste.  Customer states it was very atypical. Customer states it might not have been refrigerated properly.,Customer states the appleberry had very bitter and different taste.  Customer states it was very atypical. Customer states it might not have been refrigerated properly.,8922,,Owatonna,MN,SBUX,EVFR,CO,No
7/15/14,Pre-packaged drinks,PCW,Bad Taste/Flavor,"Customer stated that his Pineapple Coconut beverage tasted sour and looked more pink/orange, rather than clear.",Added $10.00 to card 6085333777082584 as service recovery,,,,,,EVFR,,No
7/16/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,Customer states they buy sweetgreen and lemons on a regular basis and they're very sour.,Customer states they buy sweetgreen and lemons on a regular basis and they're very sour.,,,,,,EVFR,,No
7/17/14,Pre-packaged drinks,Unknown,Illness/Injury/Allergic Reaction,Customer stated that the juices give her stomach cramps.,Customer Abandoned,,,,,,EVFR,,No
7/19/14,Pre-packaged drinks,Unknown,Expired,Customer states that the expire date on the drink is 7/12/2014.,Advised the customer that I would send her 2 coupons in the mail for the drink. Apologized to the customer. Advised the customer that it would take 7-12 business days to receive her coupons.,20136,,Bohemia,NY,SBUX,Starbucks,CO,No
7/21/14,Pre-packaged drinks,PCW,Bad Taste/Flavor,Customer stated that they purchased the PCW and Strawberry Lemonade Evolution Fresh juices and they tasted bitter and sour.,Customer stated that they purchased the PCW and Strawberry Lemonade Evolution Fresh juices and they tasted bitter and sour.,,,,,,Starbucks,,No
7/21/14,Pre-packaged drinks,Organic V,Bad Taste/Flavor,Customer states the carrots in the Organic V smell off and they're gradually getting an upset stomach.,Customer states the carrots in the Organic V smell off and they're gradually getting an upset stomach.,,,,,,EVFR,,No
7/22/14,Pre-packaged drinks,SGL,Bloated/Fermented/Spoiled,Customer had a smooth greens bottle that has expanded and has a lot of extra air.,Customer had a smooth greens bottle that has expanded and has a lot of extra air.,,,,,,EVFR,,No
7/22/14,Pre-packaged drinks,Sweet Greens & Ginger,Illness/Injury/Allergic Reaction,Customer said she was at a store. She said she had a sweet greens plus ginger drink. She said the next day she had the worst diareaa she has ever had.,Customer said she was at a store. She said she had a sweet greens plus ginger drink. She said the next day she had the worst diareaa she has ever had.,7903,,Pittsburgh,PA,SBUX,EVFR,CO,No
7/23/14,Pre-packaged drinks,Organic V,Bad Taste/Flavor,Customer stated she tried the Organic V juice and it did not taste good or have any pleasing tastes what so ever.,Customer stated she tried the Organic V juice and it did not taste good or have any pleasing tastes what so ever.,,,,,,EVFR,,No
7/23/14,Pre-packaged drinks,Defense Up,Appearance,Customer stated that every bottle of Defense up that he purchases is always hard like cement and is hard to pour out of the bottle.,Customer stated that every bottle of Defense up that he purchases is always hard like cement and is hard to pour out of the bottle.,,,,,,EVFR,,No
7/23/14,Pre-packaged drinks,Super Greens,Bad Taste/Flavor,Customer stated there was several evolution super greens that taste metalically.,Customer stated that she had a bad drink more than once at two different Stores. Customer stated that she did not have time to call until now.,,,,,,EVFR,,No
7/25/14,Pre-packaged drinks,Unknown,Illness/Injury/Allergic Reaction,Customer stated he tried a new juice and after drinking it he got a stomach ache.  The customer stated he looked at the bottle and noticed it was two days past the expiration date.,Customer stated he tried a new juice and after drinking it he got a stomach ache.  The customer stated he looked at the bottle and noticed it was two days past the expiration date.,,,,,,EVFR,,No
7/25/14,Pre-packaged drinks,Essential Greens,Illness/Injury/Allergic Reaction,"Customer stated she got ill off the Essential Greens juice and stated she got sweaty, dizzy, and nauseated.","Customer stated she got ill off the Essential Greens juice and stated she got sweaty, dizzy, and nauseated.",,,,,,EVFR,,No
7/27/14,Pre-packaged drinks,Orange,Bad Taste/Flavor,Customer stated that she purchased an Evolution Fresh Organic Carrot juice drink that was vile and tasted Metallic.,Customer stated that she purchased an Evolution Fresh Organic Carrot juice drink that was vile and tasted Metallic.,,,,,,EVFR,,No
7/30/14,Pre-packaged drinks,Smooth Greens,Bloated/Fermented/Spoiled,Customer had a smooth greens bottle that has expanded and has a lot of extra air.,,,,,,,,,
7/30/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,Customer states they didn't like Sweetgreen and Lemons it was too spicy.,,,,,,,,,
8/1/14,Pre-packaged drinks,Unknown,Expired,Customer stated they purchased an evolution juice and realized afterward that it was expired.,,,,,,,,,
8/1/14,Pre-packaged drinks,Unknown,Illness/Injury/Allergic Reaction,,,,,,,,,,
8/1/14,Pre-packaged drinks,Apple ,Foreign Object/Substance,Customer stated he purchased the Apple Juice at Costco and noticed the cap was black and full of mold,,,,,,,,,
8/1/14,Pre-packaged drinks,SGL,Bad Taste/Flavor,Customer purchased sweet greens an lemon.   Customer states it tasted bad i.e. bad flavor and bitter.  Problems with the work flow and could not finish the flow.,,,,,,,,,
8/1/14,Pre-packaged drinks,Strawberry Lemonade,Bad Taste/Flavor,Customer stated he purchased Strawberry Lemonade and it was two months past the best taste by date.,,,,,,,,,
8/1/14,Pre-packaged drinks,Essential Greens,Bad Taste/Flavor,Customer stated that the Essential Greens with Lime tasted horrible.,,,,,,,,,
8/1/14,Pre-packaged drinks,Organic Apple,Illness/Injury/Allergic Reaction,Customer said the Organic Apple Evolution Fresh Juice made him ill (gassy and loose bowls) Best taste by date is 8/3 he did not have the lot code with him.,,,,,,,,,
8/4/14,Pre-packaged drinks,Organic V,Bad Taste/Flavor,"Customer stated that her 3 ""Organic 5"" 15.2 oz juices taste bitter.",,,,,,,,,
8/4/14,Pre-packaged drinks,PCW,Bad Taste/Flavor,"Customer stated that his Pineapple Coconut beverage tasted sour and looked more pink/orange, rather than clear.",,,,,,,,,
8/5/14,Pre-packaged drinks,PCW,Appearance,Customer would like to know why some of the Coconut juices with pineapple are Discolored.,,,,,,,,,
8/6/14,Pre-packaged drinks,Organic Apple,Illness/Injury/Allergic Reaction,Customer said the Organic Apple Evolution Fresh Juice made him ill (gassy and loose bowls) Best taste by date is 8/3 he did not have the lot code with him.,,,,,,,,,
8/6/14,Pre-packaged drinks,Unknown,Illness/Injury/Allergic Reaction,Customer states they bought a case of juice and after drinking they and their entire family became ill.,,,,,,,,,
8/6/14,Pre-packaged drinks,Mango,Bad Taste/Flavor,"Customer said his Mango Evolution Fresh Juice did not taste right, it was thick and not up to his satisfactory standards.  Best Taste: 9/1/2014 Lot Code: 16465012:20 mango",,,,,,,,,
8/6/14,Pre-packaged drinks,Super Green,Bad Taste/Flavor,Customer stated that he bought a evolution fresh super green juice and the taste is off.,,,,,,,,,
8/6/14,Pre-packaged drinks,Orange,Bad Taste/Flavor,Customer stated they purchased 5 Orange evolution fresh drinks that tasted watery.,,,,,,,,,
8/6/14,Pre-packaged drinks,Apple Berry,Bad Taste/Flavor,Customer states their apple berry juice tasted like plastic.,,,,,,,,,
8/8/14,Pre-packaged drinks,Unknown,Expired,"Customer stated that she had some coupons for evolution fresh, however, the ones that she received from us were expired.",,,,,,,,,
8/9/14,Pre-packaged drinks,Juice,Bloated/Fermented/Spoiled,"Customer stated that they purchased a bottle of Orange and it was spoiled. They said that it has a spoiled taste as well as alcohol, and white clumps.",,,,,,,,,
